Artist,Sixties,Seventies,Eighties,Nineties,Two_Thousands,Twenty_Tens,Total Hits,Songs,Gender,Genre
kelly clarkson,0,0,0,0,13,4,17,"a moment like this, miss independent, breakaway, since u been gone, behind these hazel eyes, breakaway, because of you, because of you, walk away, never again, my life would suck without you, i do not hook up, already gone, already gone, stronger what doesnt kill you, catch my breath, heartbeat song",female,American_female_pop_singers
kelly price,0,0,0,1,0,0,1,friend of mine,female,African-American_female_singers
kelly rowland,0,0,0,0,0,1,1,motivation,female,African-American_female_singer-songwriters
kendrick lamar,0,0,0,0,0,1,1,swimming pools drank,male,African-American_male_rappers
kenny chesney,0,0,0,1,5,3,9,"how forever feels, dont happen twice, the good stuff, no shoes no shirt no problems, when the sun goes down, i go back, you and tequila, come over, american kids",male,American_country_singers
kenny g,0,0,1,1,0,0,2,"songbird, forever in love",,
kenny loggins,0,0,5,0,0,0,5,"this is it, heart to heart, footloose, danger zone, meet me half way",male,American_country_singers
kenny loggins  stevie nicks,0,1,0,0,0,0,1,whenever i call you friend,,
kenny nolan,0,2,0,0,0,0,2,"i like dreamin, loves grown deep",male,American_male_singers
kenny rogers,0,3,6,0,0,0,9,"lucille, the gambler, she believes in me, coward of the county, you decorated my life, lady, i dont need you, love will turn you around, through the years",male,American_country_singers
kenny rogers  kim carnes,0,0,1,0,0,0,1,dont fall in love with a dreamer,,
kenny rogers  the first edition,1,1,0,0,0,0,2,"ruby dont take your love to town, somethings burning",both,
kenny rogers and dolly parton,0,0,1,0,0,0,1,islands in the stream,,
kenny rogers and sheena easton,0,0,1,0,0,0,1,weve got tonight,,
keri hilson,0,0,0,0,2,1,3,"knock you down, turnin me on, pretty girl rock",female,African-American_female_singer-songwriters
kesha,0,0,0,0,0,1,1,die young,female,American_female_singer-songwriters
kevin lyttle,0,0,0,0,1,0,1,turn me on,male,
kevin rudolf,0,0,0,0,2,1,3,"let it rock, let it rock, i made it cash money heroes",male,American_male_guitarists
kevon edmonds,0,0,0,0,1,0,1,247,,
keyshia cole,0,0,0,0,4,0,4,"love, let it go, i remember, heaven sent",female,African-American_female_singer-songwriters
kid cudi,0,0,0,0,1,0,1,day n nite,male,African-American_male_rappers
kid ink,0,0,0,0,0,1,1,show me,male,African-American_male_rappers
kid rock,0,0,0,0,3,0,3,"only god knows why, picture, all summer long",male,American_male_guitarists
kim carnes,0,0,2,0,0,0,2,"more love, bette davis eyes",female,American_female_country_singers
kim wilde,0,0,2,0,0,0,2,"kids in america, you keep me hangin on",female,English_female_pop_singers
king floyd,0,1,0,0,0,0,1,groove me,male,American_male_singers
king harvest,0,1,0,0,0,0,1,dancing in the moonlight,,
kings of leon,0,0,0,0,1,1,2,"use somebody, use somebody",male,
kip moore,0,0,0,0,0,1,1,somethin bout a truck,male,American_male_guitarists
kirko bangz,0,0,0,0,0,1,1,drank in my cup,male,African-American_male_rappers
kiss,0,2,0,1,0,0,3,"rock and roll all nite live, i was made for lovin you, forever",male,
klymaxx,0,0,1,0,0,0,1,i miss you,,
kongos,0,0,0,0,0,1,1,come with me now,male,
kool  the gang,0,2,11,0,0,0,13,"jungle boogie, hollywood swinging, ladies night, too hot, celebration, get down on it, take my heart you can have it if you want it, joanna, tonight, cherish, misled, fresh, victory",male,
kris kristofferson,0,1,0,0,0,0,1,why me,male,American_country_singers
kris kross,0,0,0,4,0,0,4,"jump, warm it up, alright, tonites tha night ",,
kristinia debarge,0,0,0,0,1,0,1,goodbye,female,American_female_singers
kt tunstall,0,0,0,0,1,0,1,black horse and the cherry tree,female,Female_rock_singers
kws,0,0,0,1,0,0,1,please dont go,,
kylie minogue,0,0,1,0,1,0,2,"the locomotion, cant get you out of my head",female,Australian_female_pop_singers
kyper,0,0,0,1,0,0,1,tictactoe,,
la bouche,0,0,0,2,0,0,2,"be my lover, sweet dreams",,
la roux,0,0,0,0,0,1,1,bulletproof,,
labelle,0,1,0,0,0,0,1,lady marmalade,,
lady antebellum,0,0,0,0,1,5,6,"i run to you, need you now, american honey, just a kiss, downtown, bartender",female,
lady gaga,0,0,0,0,4,9,13,"poker face, just dance, lovegame, paparazzi, bad romance, telephone, alejandro, paparazzi, born this way, the edge of glory, yo""u and i, applause, do what u want",female,American_female_pop_singers
lamont dozier,0,1,0,0,0,0,1,trying to hold on to my woman,,
lana del rey and cedric gervais,0,0,0,0,0,1,1,summertime sadness,,
larry groce,0,1,0,0,0,0,1,junk food junkie,male,American_male_singer-songwriters
laura branigan,0,0,5,0,0,0,5,"gloria, gloria, solitaire, how am i supposed to live without you, self control",female,American_female_pop_singers
lauryn hill,0,0,0,2,0,0,2,"doo wop that thing, exfactor",female,American_female_guitarists
leann rimes,0,0,0,3,2,0,5,"how do i live, how do i live, looking through your eyes, i need you, cant fight the moonlight",female,American_female_country_singers
leblanc  carr,0,1,0,0,0,0,1,falling,,
lee ann womack,0,0,0,0,2,0,2,"i hope you dance, i hope you dance",female,American_female_country_singers
lee brice,0,0,0,0,0,2,2,"hard to love, i dont dance",male,American_country_singers
lee dorsey,1,0,0,0,0,0,1,working in the coal mine,male,American_male_singers
lee michaels,0,1,0,0,0,0,1,do you know what i mean,male,American_male_guitarists
leif garrett,0,1,0,0,0,0,1,i was made for dancin,male,American_male_singers
len,0,0,0,1,0,0,1,steal my sunshine,,
lenny kravitz,0,0,0,2,1,0,3,"it aint over til its over, fly away, again",male,African-American_male_singers
leo sayer,0,4,1,0,0,0,5,"long tall glasses, you make me feel like dancing, when i need you, how much love, more than i can say",male,English_male_singers
leona lewis,0,0,0,0,2,0,2,"bleeding love, better in time",female,British_female_singers
lesley gore,1,0,0,0,0,0,1,california nights,female,American_female_pop_singers
level 42,0,0,1,0,0,0,1,something about you,,
levert,0,0,1,0,0,0,1,casanova,,
lfo,0,0,0,1,1,0,2,"summer girls, girl on tv",,
lifehouse,0,0,0,0,4,0,4,"hanging by a moment, you and me, you and me, first time",,
lil bow wow,0,0,0,0,1,0,1,bounce with me,,
lil flip,0,0,0,0,2,0,2,"sunshine, game over flip",,
lil jon,0,0,0,0,2,0,2,"lovers  friends, snap yo fingers",male,African-American_male_rappers
lil jon  the east side boyz,0,0,0,0,2,0,2,"get low, get low",,
lil kim,0,0,0,2,2,0,4,"not tonight, no time, magic stick, the jump off",male,
lil mo,0,0,0,0,1,0,1,superwoman pt ii,,
lil romeo,0,0,0,0,1,0,1,my baby,male,
lil wayne,0,0,0,0,4,6,10,"lollipop, got money, a milli, mrs officer, right above it, how to love, 6 foot 7 foot, she will, love me, believe me",male,African-American_male_rappers
linda ronstadt,0,5,2,0,0,0,7,"when will i be loved, youre no good, blue bayou, its so easy, ooo baby baby, how do i make you, hurt so bad",female,American_female_country_singers
linda ronstadt and aaron neville,0,0,0,1,0,0,1,dont know much,both,
linda ronstadt and james ingram,0,0,1,0,0,0,1,somewhere out there,,
lindsey buckingham,0,0,1,0,0,0,1,trouble,male,American_male_guitarists
linear,0,0,0,1,0,0,1,sending all my love,male,
linkin park,0,0,0,0,6,1,7,"in the end, numb, breaking the habit, what ive done, shadow of the day, new divide, burn it down",,
lionel richie,0,0,12,0,0,0,12,"you are, truly, my love, hello, all night long all night, stuck on you, running with the night, penny lover, say you say me, dancing on the ceiling, love will conquer all, ballerina girl",male,American_country_singers
lipps inc,0,0,1,0,0,0,1,funkytown,,
lisa lisa and cult jam,0,0,3,0,0,0,3,"all cried out, head to toe, lost in emotion",,
lisa loeb,0,0,0,1,0,0,1,i do,female,American_female_guitarists
lisa loeb and nine stories,0,0,0,1,0,0,1,stay i missed you,both,
lisa stansfield,0,0,0,1,0,0,1,all around the world,female,English_female_pop_singers
lita ford and ozzy osbourne,0,0,1,0,0,0,1,close my eyes forever,both,
little anthony and the imperials,1,0,0,0,0,0,1,take me back,,
little big town,0,0,0,0,0,2,2,"pontoon, girl crush",,
little river band,0,3,4,0,0,0,7,"reminiscing, lady, lonesome loser, cool change, take it easy on me, man on your mind, the other guy",,
ll cool j,0,0,0,5,2,0,7,"around the way girl, hey lover, loungin, doin it, father, luv u better, headsprung",male,African-American_male_rappers
lloyd,0,0,0,0,3,0,3,"southside, you, get it shawty",male,African-American_male_singers
lloyd banks,0,0,0,0,1,0,1,on fire,male,African-American_male_rappers
lmfao,0,0,0,0,0,4,4,"party rock anthem, sexy and i know it, sexy and i know it, party rock anthem",,
lobo,0,2,0,0,0,0,2,"me and you and a dog named boo, dont expect me to be your friend",male,American_male_singer-songwriters
loggins and messina,0,1,0,0,0,0,1,your mama dont dance,,
london symphony orchestra,0,1,0,0,0,0,1,star wars main title,both,
londonbeat,0,0,0,1,0,0,1,ive been thinking about you,,
lonestar,0,0,0,1,4,0,5,"amazed, amazed, what about now, im already there, my front porch looking in",male,
looking glass,0,1,0,0,0,0,1,brandy youre a fine girl,male,
lord david dundas,0,1,0,0,0,0,1,jeans on,male,English_male_singers
lord tariq and peter gunz,0,0,0,1,0,0,1,deja vu uptown baby,,
lorde,0,0,0,0,0,3,3,"royals, team, royals",female,New_Zealand_female_pop_singers
loreena mckennitt,0,0,0,1,0,0,1,the mummers dance,female,Canadian_female_singers
los bravos,1,0,0,0,0,0,1,black is black,male,
los del r'io,0,0,0,3,0,0,3,"macarena bayside boys mix, macarena, macarena bayside boys mix",,
los lobos,0,0,1,0,0,0,1,la bamba,,
los lonely boys,0,0,0,0,1,0,1,heaven,,
lou bega,0,0,0,1,0,0,1,mambo no 5,male,
lou christie,2,0,0,0,0,0,2,"lightnin strikes, im gonna make you mine",,
lou gramm,0,0,1,1,0,0,2,"midnight blue, just between you and me",male,American_male_singer-songwriters
lou rawls,2,1,0,0,0,0,3,"love is a hurtin thing, your good thing is about to end, youll never find another love like mine",male,American_male_singers
love and rockets,0,0,1,0,0,0,1,so alive,female,
love unlimited,0,1,0,0,0,0,1,walkin in the rain with the one i love,,
love unlimited orchestra,0,1,0,0,0,0,1,loves theme,,
loverboy,0,0,2,0,0,0,2,"working for the weekend, hot girls in love",,
lovin spoonful,1,0,0,0,0,0,1,summer in the city,male,
lsg,0,0,0,1,0,0,1,my body,,
ltd,0,1,0,0,0,0,1,every time i turn around back in love again,,
ludacris,0,0,0,0,12,2,14,"southern hospitality, move bitch, rollout my business, stand up, splash waterfalls, stand up, pimpin all over the world, get back, number one spot, money maker, runaway love, money maker, how low, my chick bad",male,African-American_male_rappers
luke,0,0,0,1,0,0,1,raise the roof,,
luke bryan,0,0,0,0,0,7,7,"country girl shake it for me, drunk on you, i dont want this night to end, crash my party, thats my kind of night, play it again, kick the dust up",male,American_country_singers
lulu,1,0,0,0,0,0,1,to sir with love,,
lumidee,0,0,0,0,1,0,1,never leave you uh oooh uh oooh,female,American_female_singers
luniz,0,0,0,1,0,0,1,i got 5 on it,,
lupe fiasco,0,0,0,0,1,1,2,"superstar, the show goes on",male,African-American_male_rappers
luscious jackson,0,0,0,1,0,0,1,naked eye,,
luther ingram,0,1,0,0,0,0,1,if loving you is wrong i dont want to be right,male,American_male_singers
luther vandross,0,0,0,2,0,0,2,"here and now, power of lovelove power",male,African-American_male_singers
luther vandross and janet jackson,0,0,0,1,0,0,1,the best things in life are free,,
luther vandross and mariah carey,0,0,0,1,0,0,1,endless love,,
lynn anderson,0,1,0,0,0,0,1,rose garden,female,American_female_country_singers
lynyrd skynyrd,0,1,0,0,0,0,1,whats your name,,
m,0,0,1,0,0,0,1,pop muzik,,
m'ya,0,0,0,0,3,0,3,"case of the ex, case of the ex, my love is likewo",,
m'ya and sisqo,0,0,0,1,0,0,1,its all about me,female,
"m""otley cr""ue",0,0,0,1,0,0,1,without you,,
mac and katie kissoon,0,1,0,0,0,0,1,chirpy chirpy cheep cheep,both,
mac davis,0,2,0,0,0,0,2,"baby dont get hooked on me, one hell of a woman",male,American_country_singers
macklemore  ryan lewis,0,0,0,0,0,1,1,white walls,,
macklemore and ryan lewis,0,0,0,0,0,4,4,"thrift shop, cant hold us, same love, downtown",,
macy gray,0,0,0,0,1,0,1,i try,female,African-American_female_singer-songwriters
madness,0,0,1,0,0,0,1,our house,,
madonna,0,0,18,14,4,0,36,"borderline, lucky star, holiday, like a virgin, crazy for you, material girl, angel, dress you up, papa dont preach, live to tell, true blue, open your heart, whos that girl, causing a commotion, la isla bonita, like a prayer, express yourself, cherish, vogue, justify my love, this used to be my playground, deeper and deeper, rain, ill remember, secret, take a bow, secret, youll see, dont cry for me argentina, you must love me, frozen, ray of light, music, dont tell me, hung up, 4 minutes",female,American_female_pop_singers
magic,0,0,0,0,0,1,1,rude,male,African-American_male_rappers
major harris,0,1,0,0,0,0,1,love wont let me wait,male,African-American_male_singers
major lazer and dj snake,0,0,0,0,0,1,1,lean on,,
mama cass elliot,1,0,0,0,0,0,1,its getting better,,
manfred mann,1,0,0,0,0,0,1,the mighty quinn,male,
manfred manns earth band,0,1,0,0,0,0,1,blinded by the light,male,
marc anthony,0,0,0,1,2,0,3,"i need to know, you sang to me, i need to know",male,American_male_singers
marcy playground,0,0,0,1,0,0,1,sex and candy,,
maria muldaur,0,1,0,0,0,0,1,midnight at the oasis,female,American_female_singers
mariah carey,0,0,0,20,8,1,29,"vision of love, love takes time, someday, emotions, i dont wanna cry, love takes time, ill be there, cant let go, make it happen, dreamlover, hero, without you  never forget you, anytime you need a friend, fantasy, always be my baby, fantasy, honey, my all, heartbreaker, i still believe, thank god i found you, loverboy, we belong together, shake it off, its like that, dont forget about us, touch my body, obsessed, beautiful",female,African-American_female_singer-songwriters
mariah carey and boyz ii men,0,0,0,1,0,0,1,one sweet day,,
marilyn mccoo  billy davis jr,0,1,0,0,0,0,1,you dont have to be a star to be in my show,,
mario,0,0,0,0,3,0,3,"just a friend 2002, let me love you, break up",,
mario winans,0,0,0,0,1,0,1,i dont wanna know,male,African-American_male_singers
mark chesnutt,0,0,0,1,0,0,1,i dont want to miss a thing,male,American_country_singers
mark lindsay,0,1,0,0,0,0,1,arizona,male,American_male_singer-songwriters
mark morrison,0,0,0,1,0,0,1,return of the mack,male,English_male_singers
mark ronson,0,0,0,0,0,1,1,uptown funk,male,English_male_singers
mark wills,0,0,0,0,1,0,1,19 somethin,male,American_country_singers
marky mark and the funky bunch,0,0,0,2,0,0,2,"good vibrations, wildside",,
marmalade,0,1,0,0,0,0,1,reflections of my life,,
maroon 5,0,0,0,0,4,12,16,"this love, she will be loved, she will be loved, makes me wonder, misery, moves like jagger, payphone, one more night, moves like jagger, daylight, one more night, love somebody, maps, animals, sugar, animals",,
martha and the vandellas,2,0,0,0,0,0,2,"nowhere to run, jimmy mack",,
martika,0,0,1,0,0,0,1,toy soldiers,female,American_female_singers
martin garrix,0,0,0,0,0,1,1,animals,,
martin page,0,0,0,1,0,0,1,in the house of stone and light,male,English_male_singers
marty balin,0,0,1,0,0,0,1,hearts,male,American_male_singers
marvin gaye,5,4,1,0,0,0,10,"ill be doggone, how sweet it is to be loved by you, too busy thinking about my baby, thats the way love is, i heard it through the grapevine, whats going on, mercy mercy me the ecology, lets get it on, got to give it up, sexual healing",male,American_male_singer-songwriters
marvin gaye  tammi terrell,4,0,0,0,0,0,4,"your precious love, aint no mountain high enough, aint nothing like the real thing, youre all i need to get by",,
marvin hamlisch,0,1,0,0,0,0,1,the entertainer,,
mary hopkin,1,0,0,0,0,0,1,those were the days,,
mary j blige,0,0,0,3,6,0,9,"real love, real love, not gon cry, family affair, family affair, rainy dayz, no more drama, be without you, just fine",,
mary jane girls,0,0,1,0,0,0,1,in my house,,
mary macgregor,0,1,0,0,0,0,1,torn between two lovers,female,American_female_country_singers
mary mary,0,0,0,0,1,0,1,shackles praise you,,
mase,0,0,0,3,0,0,3,"what you want, feel so good, lookin at me",male,African-American_male_rappers
mason williams,1,0,0,0,0,0,1,classical gas,male,American_male_guitarists
master p,0,0,0,2,0,0,2,"make em say uhh, i got the hook up",male,African-American_male_rappers
matchbox 20,0,0,0,1,0,0,1,back 2 good,,
matchbox twenty,0,0,0,0,3,0,3,"bent, if youre gone, unwell",,
matthew wilder,0,0,1,0,0,0,1,break my stride,male,American_male_singer-songwriters
matthews southern comfort,0,1,0,0,0,0,1,woodstock,,
maureen mcgovern,0,1,0,0,0,0,1,the morning after,,
maxi priest,0,0,0,2,0,0,2,"close to you, that girl",male,English_male_singers
maxine nightingale,0,2,0,0,0,0,2,"right back where we started from, lead me on",female,English_female_pop_singers
maxwell,0,0,0,1,1,0,2,"fortunate, pretty wings",male,American_male_guitarists
mc hammer,0,0,0,2,0,0,2,"have you seen her, u cant touch this",male,African-American_male_rappers
mc lyte,0,0,0,2,0,0,2,"keep on keepin on, cold rock a party",,
mcfadden  whitehead,0,1,0,0,0,0,1,aint no stoppin us now,male,
meat loaf,0,1,0,3,0,0,4,"two out of three aint bad, id do anything for love but i wont do that, id do anything for love but i wont do that, rock and roll dreams come through",male,American_male_singers
meco,0,1,0,0,0,0,1,star wars themecantina band,,
meek mill,0,0,0,0,0,1,1,all eyes on you,male,African-American_male_rappers
meghan trainor,0,0,0,0,0,5,5,"all about that bass, lips are movin, all about that bass, dear future husband, like im gonna lose you",female,American_female_pop_singers
mel and tim,0,1,0,0,0,0,1,starting all over again,,
mel carter,1,0,0,0,0,0,1,hold me thrill me kiss me,male,American_male_singers
melanie,0,2,0,0,0,0,2,"lay down candles in the rain, brand new key",female,
melissa etheridge,0,0,0,4,0,0,4,"come to my window, im the only one, like the way i do, i want to come over",female,American_female_guitarists
melissa manchester,0,2,1,0,0,0,3,"midnight blue, dont cry out loud, you should hear how she talks about you",female,American_female_singers
mellow man ace,0,0,0,1,0,0,1,mentirosa,male,
men at work,0,0,4,0,0,0,4,"who can it be now, down under, overkill, its a mistake",,
men without hats,0,0,1,0,0,0,1,the safety dance,,
mercy,1,0,0,0,0,0,1,love can make you happy,,
meredith brooks,0,0,0,1,0,0,1,bitch,female,American_female_guitarists
merril bainbridge,0,0,0,2,0,0,2,"mouth, mouth",female,Australian_female_pop_singers
merrilee rush,1,0,0,0,0,0,1,angel of the morning,,
metallica,0,0,0,1,0,0,1,until it sleeps,,
method man,0,0,0,1,0,0,1,ill be there for youyoure all i need to get by,male,African-American_male_rappers
metro station,0,0,0,0,1,0,1,shake it,,
mfsb,0,1,0,0,0,0,1,tsop the sound of philadelphia,,
mia,0,0,0,0,1,0,1,paper planes,,
miami sound machine,0,0,3,0,0,0,3,"conga, words get in the way, bad boy",,
michael bolton,0,0,0,10,0,0,10,"how am i supposed to live without you, how can we be lovers, when im back on my feet again, love is a wonderful thing, time love and tenderness, when a man loves a woman, missing you now, to love somebody, said i loved youbut i lied, go the distance",male,American_male_singer-songwriters
michael buble,0,0,0,0,0,1,1,havent met you yet,male,
michael damian,0,0,1,0,0,0,1,rock on,male,American_male_singers
michael franti  spearhead,0,0,0,0,1,0,1,say hey i love you,,
michael jackson,0,3,13,5,1,0,22,"ben, rockin robin, dont stop til you get enough, rock with you, shes out of my life, off the wall, billie jean, beat it, wanna be startin somethin, human nature, thriller, bad, man in the mirror, the way you make me feel, dirty diana, smooth criminal, black or white, remember the time, in the closet, will you be there, you are not alone, butterflies",male,African-American_male_singers
michael jackson and janet jackson,0,0,0,1,0,0,1,scream,,
michael jackson and justin timberlake,0,0,0,0,0,1,1,love never felt so good,,
michael jackson and paul mccartney,0,0,1,0,0,0,1,the girl is mine,,
michael jackson with siedah garrett,0,0,1,0,0,0,1,i just cant stop loving you,both,
michael johnson,0,1,0,0,0,0,1,bluer than blue,male,American_country_singers
michael martin murphey,0,1,0,0,0,0,1,wildfire,male,American_country_singers
michael mcdonald,0,0,2,0,0,0,2,"i keep forgettin every time youre near, sweet freedom",male,American_male_singers
michael murphey,0,0,1,0,0,0,1,whats forever for,male,
michael sembello,0,0,1,0,0,0,1,maniac,male,American_male_guitarists
michael w smith,0,0,0,1,0,0,1,place in this world,,
michelle,0,0,0,1,0,0,1,no more lies,,
michelle branch,0,0,0,0,2,0,2,"all you wanted, are you happy now",female,American_female_country_singers
mickey gilley,0,0,1,0,0,0,1,stand by me,male,American_country_singers
miguel,0,0,0,0,0,3,3,"sure thing, adorn, adorn",male,American_male_singer-songwriters
mike  the mechanics,0,0,3,0,0,0,3,"silent running on dangerous ground, all i need is a miracle, the living years",,
mike jones,0,0,0,0,1,0,1,back then,male,African-American_male_rappers
mike oldfield,0,1,0,0,0,0,1,tubular bells,male,English_male_composers
mike posner,0,0,0,0,0,2,2,"cooler than me, please dont go",male,American_male_singer-songwriters
mike post,0,1,0,0,0,0,1,the rockford files,,
mike reno and ann wilson,0,0,1,0,0,0,1,almost paradise,,
mike will madeit,0,0,0,0,0,1,1,23,male,
miley cyrus,0,0,0,0,4,5,9,"see you again, 7 things, the climb, party in the usa, party in the usa, we cant stop, wrecking ball, wrecking ball, adore you",female,American_female_pop_singers
milli vanilli,0,0,4,2,0,0,6,"girl you know its true, girl im gonna miss you, blame it on the rain, baby dont forget my number, blame it on the rain, all or nothing",,
mims,0,0,0,0,1,0,1,this is why im hot,male,African-American_male_rappers
minnie riperton,0,1,0,0,0,0,1,lovin you,female,African-American_female_singers
mint condition,0,0,0,1,0,0,1,breakin my heart pretty brown eyes,,
miranda lambert,0,0,0,0,0,2,2,"the house that built me, mamas broken heart",female,American_female_country_singers
miranda lambert and carrie underwood,0,0,0,0,0,1,1,somethin bad,,
missy elliott,0,0,0,1,7,0,8,"sock it 2 me, hot boyz, get ur freak on, one minute man, work it, work it, gossip folks, lose control",female,African-American_female_singer-songwriters
mitch ryder  the detroit wheels,1,0,0,0,0,0,1,devil with a blue dress ongood golly miss molly,,
mkto,0,0,0,0,0,1,1,classic,,
mo thugs,0,0,0,1,0,0,1,ghetto cowboy,,
moby,0,0,0,0,1,0,1,south side,,
mocedades,0,1,0,0,0,0,1,eres tu,,
mokenstef,0,0,0,1,0,0,1,hes mine,,
monica,0,0,0,6,2,0,8,"dont take it personal just one of dem days, before you walk out of my life  like this and like that, why i love you so much  aint nobody, for you i will, the first night, angel of mine, so gone, u shouldve known better",female,African-American_female_singer-songwriters
monifah,0,0,0,1,0,0,1,touch it,female,African-American_female_singer-songwriters
montell jordan,0,0,0,3,1,0,4,"this is how we do it, whats on tonight, lets ride, get it on tonite",male,American_male_singer-songwriters
moody blues,0,0,1,0,0,0,1,your wildest dreams,,
morris albert,0,1,0,0,0,0,1,feelings,male,
motherlode,1,0,0,0,0,0,1,when i die,,
mountain,0,1,0,0,0,0,1,mississippi queen,,
mouth  macneal,0,1,0,0,0,0,1,how do you do,,
moving pictures,0,0,1,0,0,0,1,what about me,,
mr big,0,0,0,2,0,0,2,"to be with you, just take my heart",,
mr cheeks,0,0,0,0,1,0,1,lights camera action,male,
mr mister,0,0,2,0,0,0,2,"broken wings, kyrie",,
mr president,0,0,0,1,0,0,1,coco jambo,,
mr probz,0,0,0,0,0,1,1,waves,male,
mumford  sons,0,0,0,0,0,1,1,i will wait,,
mungo jerry,0,1,0,0,0,0,1,in the summertime,,
murray head,0,0,1,0,0,0,1,one night in bangkok,male,English_male_singers
murray head  the trindad singers,0,1,0,0,0,0,1,superstar,,
musical youth,0,0,1,0,0,0,1,pass the dutchie,,
musiq soulchild,0,0,0,0,2,0,2,"love, halfcrazy",male,African-American_male_singers
my chemical romance,0,0,0,0,1,0,1,welcome to the black parade,,
mystikal,0,0,0,0,2,0,2,"shake ya ass, danger been so long",male,African-American_male_rappers
n ii u,0,0,0,1,0,0,1,i miss you,,
n sync,0,0,0,2,5,0,7,"i want you back, god must have spent a little more time on you, bye bye bye, its gonna be me, this i promise you, girlfriend, gone",,
n sync and gloria estefan,0,0,0,1,0,0,1,music of my heart,,
n2deep,0,0,0,1,0,0,1,back to the hotel,,
naked eyes,0,0,2,0,0,0,2,"always something there to remind me, promises promises",male,
nancy sinatra,1,0,0,0,0,0,1,these boots are made for walkin,female,American_female_country_singers
nas,0,0,0,0,1,0,1,i can,male,African-American_male_rappers
nas and bravehearts,0,0,0,0,1,0,1,oochie wally,,
natalie,0,0,0,0,1,0,1,goin crazy,female,American_female_singers
natalie cole,0,2,2,0,0,0,4,"ive got love on my mind, our love, pink cadillac, miss you like crazy",female,African-American_female_singer-songwriters
natalie la rose,0,0,0,0,0,1,1,somebody,,
natalie merchant,0,0,0,3,0,0,3,"carnival, wonder, jealousy",female,American_female_singer-songwriters
natasha bedingfield,0,0,0,0,4,0,4,"these words, unwritten, pocketful of sunshine, love like this",female,English_female_pop_singers
natural selection,0,0,0,1,0,0,1,do anything,,
naughty boy,0,0,0,0,0,1,1,la la la,,
naughty by nature,0,0,0,4,0,0,4,"opp, hip hop hooray, feel me flow, jamboree",,
nazareth,0,1,0,0,0,0,1,love hurts,,
neil  dara sedaka,0,0,1,0,0,0,1,shouldve never let you go,,
neil diamond,4,3,5,0,0,0,12,"cherry cherry, girl youll be a woman soon, thank the lord for the night time, sweet caroline, cracklin rosie, i ami said, song sung blue, september morn, love on the rocks, america, hello again, yesterdays songs",male,American_male_guitarists
neil diamond  barbra streisand,0,1,0,0,0,0,1,you dont bring me flowers,,
neil sedaka,0,2,0,0,0,0,2,"laughter in the rain, breaking up is hard to do",male,American_male_singer-songwriters
neil sedaka  elton john,0,1,0,0,0,0,1,bad blood,male,
neil young,0,1,0,0,0,0,1,heart of gold,male,Canadian_male_singers
nelly,0,0,0,0,9,2,11,"country grammar hot shit, ride wit me, ei, hot in herre, dilemma, air force ones, my place, over and over, over and over, just a dream, just a dream",male,African-American_male_rappers
nelly furtado,0,0,0,0,5,0,5,"im like a bird, turn off the light, turn off the light, promiscuous, say it right",female,Canadian_female_pop_singers
nelly p diddy and murphy lee,0,0,0,0,1,0,1,shake ya tailfeather,,
nelly paul wall and ali  gipp,0,0,0,0,1,0,1,grillz,,
nelson,0,0,0,2,0,0,2,"cant live without your love and affection, after the rain",,
nena,0,0,1,0,0,0,1,99 luftballons,,
neneh cherry,0,0,1,0,0,0,1,buffalo stance,female,
neon trees,0,0,0,0,0,3,3,"animal, animal, everybody talks",,
new boyz,0,0,0,0,0,2,2,"tie me down, backseat",,
new colony six,1,0,0,0,0,0,1,things id like to say,male,
new edition,0,0,2,2,0,0,4,"cool it now, if it isnt love, hit me off, im still in love with you",male,
new kids on the block,0,0,4,2,0,0,6,"ill be loving you forever, hangin tough, you got it the right stuff, cover girl, step by step, this ones for the children",,
new vaudeville band,1,0,0,0,0,0,1,winchester cathedral,,
new york city,0,1,0,0,0,0,1,im doin fine now,,
next,0,0,0,4,1,0,5,"butta love, too close, i still love you, butta love, wifey",,
neyo,0,0,0,0,8,3,11,"so sick, sexy love, when youre mad, because of you, closer, miss independent, mad, miss independent, let me love you until you learn to love yourself, let me love you until you learn to love yourself, she knows",male,
nick cannon,0,0,0,0,1,0,1,gigolo,male,African-American_male_rappers
nick gilder,0,1,0,0,0,0,1,hot child in the city,male,Canadian_male_singers
nick jonas,0,0,0,0,0,2,2,"jealous, chains",male,American_male_singer-songwriters
nick lachey,0,0,0,0,1,0,1,whats left of me,male,American_male_singers
nickelback,0,0,0,0,11,0,11,"how you remind me, someday, photograph, photograph, savin me, far away, rockstar, if everyone cared, far away, gotta be somebody, if today was your last day",male,
nicki french,0,0,0,1,0,0,1,total eclipse of the heart,female,English_female_pop_singers
nicki minaj,0,0,0,0,0,8,8,"your love, super bass, moment 4 life, starships, pound the alarm, anaconda, only, truffle butter",female,African-American_female_singer-songwriters
nicky jam and enrique iglesias,0,0,0,0,0,1,1,el perdon,,
nico  vinz,0,0,0,0,0,1,1,am i wrong,,
nicole,0,0,0,1,0,0,1,make it hot,,
nicolette larson,0,1,0,0,0,0,1,lotta love,female,American_female_country_singers
nigel olsson,0,1,0,0,0,0,1,dancin shoes,male,English_male_singers
night ranger,0,0,3,0,0,0,3,"sister christian, when you close your eyes, sentimental street",,
nina sky,0,0,0,0,1,0,1,move ya body,,
