Artist,Sixties,Seventies,Eighties,Nineties,Two_Thousands,Twenty_Tens,Total Hits,Songs,Gender,Genre
beyonce,0,0,0,0,14,5,19,"crazy in love, baby boy, naughty girl, me myself and i, baby boy, check on it, dej`a vu, irreplaceable, beautiful liar, single ladies put a ring on it, halo, if i were a boy, sweet dreams, diva, sweet dreams, best thing i never had, drunk in love, partition, 711",female,
big brother and the holding company,1,0,0,0,0,0,1,piece of my heart,,
big mountain,0,0,0,1,0,0,1,baby i love your way,,
big pun,0,0,0,1,0,0,1,still not a player,,
big sean,0,0,0,0,0,4,4,"my last, dance a, i dont fuck with you, blessings",male,African-American_male_rappers
big tymers,0,0,0,0,1,0,1,still fly,,
bill conti deetta little and nelson pigford,0,1,0,0,0,0,1,gonna fly now,both,
bill cosby,1,0,0,0,0,0,1,little ole man uptight everythings alright,,
bill medley and jennifer warnes,0,0,1,0,0,0,1,ive had the time of my life,,
bill withers,0,3,0,0,0,0,3,"aint no sunshine, lean on me, use me",male,African-American_male_singers
billie myers,0,0,0,1,0,0,1,kiss the rain,female,English_female_pop_singers
billy currington,0,0,0,0,1,0,1,people are crazy,male,American_country_singers
billy idol,0,0,4,1,0,0,5,"hot in the city, eyes without a face, mony mony, to be a lover, cradle of love",male,English_male_singers
billy joe royal,1,0,0,0,0,0,1,down in the boondocks,male,American_country_singers
billy joel,0,2,7,3,0,0,12,"just the way you are, my life, its still rock and roll to me, you may be right, allentown, tell her about it, uptown girl, an innocent man, the longest time, we didnt start the fire, i go to extremes, the river of dreams",male,American_male_pop_singers
billy ocean,0,0,6,0,0,0,6,"caribbean queen, loverboy, suddenly, therell be sad songs to make you cry, when the going gets tough the tough get going, get outta my dreams get into my car",male,English_male_singers
billy paul,0,1,0,0,0,0,1,me and mrs jones,male,American_male_singers
billy preston,0,3,0,0,0,0,3,"outaspace, will it go round in circles, nothing from nothing",male,American_male_singer-songwriters
billy preston and syreeta,0,0,1,0,0,0,1,with you im born again,,
billy ray cyrus,0,0,0,1,0,0,1,achy breaky heart,male,American_country_singers
billy squier,0,0,2,0,0,0,2,"the stroke, rock me tonite",male,American_male_guitarists
billy swan,0,1,0,0,0,0,1,i can help,male,American_country_singers
billy vera and the beaters,0,0,1,0,0,0,1,at this moment,,
biz markie,0,0,0,1,0,0,1,just a friend,male,African-American_male_rappers
bj thomas,2,4,0,0,0,0,6,"im so lonesome i could cry, hooked on a feeling, raindrops keep fallin on my head, i just cant help believing, hey wont you play another somebody done somebody wrong song, dont worry baby",male ,
black box,0,0,0,2,0,0,2,"everybody everybody, strike it up",,
blackstreet,0,0,0,4,0,0,4,"before i let you go, no diggity, no diggity, take me there",,
blake shelton,0,0,0,0,1,4,5,"austin, honey bee, god gave me you, boys round here, sure be cool if you did",male,American_country_singers
blaque,0,0,0,1,1,0,2,"808, bring it all to me",,
blessid union of souls,0,0,0,1,0,0,1,i believe,,
blink 182,0,0,0,0,1,0,1,all the small things,,
blondie,0,1,3,0,0,0,4,"heart of glass, call me, rapture, the tide is high",,
blood sweat  tears,2,0,0,0,0,0,2,"spinning wheel, youve made me so very happy",,
bloodstone,0,1,0,0,0,0,1,natural high,,
blu cantrell,0,0,0,0,1,0,1,hit em up style oops,female,African-American_female_singer-songwriters
blue cheer,1,0,0,0,0,0,1,summertime blues,,
blue magic,0,1,0,0,0,0,1,sideshow,,
blue october,0,0,0,0,1,0,1,hate me,male,
blue ridge rangers,0,1,0,0,0,0,1,jambalaya on the bayou,,
blue swede,0,1,0,0,0,0,1,hooked on a feeling,,
blues image,0,1,0,0,0,0,1,ride captain ride,,
blues magoos,1,0,0,0,0,0,1,we aint got nothin yet,,
blues traveler,0,0,0,2,0,0,2,"runaround, hook",,
bo donaldson and the heywoods,0,1,0,0,0,0,1,billy dont be a hero,,
bob,0,0,0,0,0,4,4,"airplanes, nothin on you, magic, so good",,
bob dylan,3,0,0,0,0,0,3,"like a rolling stone, rainy day women 12  35, lay lady lay",male,American_country_singers
bob lind,1,0,0,0,0,0,1,elusive butterfly,male,American_male_guitarists
bob seger,0,0,2,0,0,0,2,"fire lake, shakedown",male,American_male_guitarists
bob seger  the silver bullet band,0,4,1,0,0,0,5,"night moves, still the same, hollywood nights, weve got tonight, shame on the moon",,
bob seger and the silver bullet band,0,0,1,0,0,0,1,against the wind,,
bob seger system,1,0,0,0,0,0,1,ramblin gamblin man,,
bob welch,0,2,0,0,0,0,2,"sentimental lady, ebony eyes",male,American_male_guitarists
bobbi martin,0,1,0,0,0,0,1,for the love of him,female,American_female_country_singers
bobbie gentry,1,0,0,0,0,0,1,ode to billie joe,female,American_female_country_singers
bobby boris pickett and the cryptkickers,0,1,0,0,0,0,1,monster mash,,
bobby brown,0,0,6,2,0,0,8,"dont be cruel, my prerogative, on our own, every little step, roni, rock witcha, humpin around, good enough",male,African-American_male_singers
bobby caldwell,0,1,0,0,0,0,1,what you wont do for love,,
bobby darin,1,0,0,0,0,0,1,if i were a carpenter,male,American_country_singers
bobby fuller four,1,0,0,0,0,0,1,i fought the law,,
bobby goldsboro,2,1,0,0,0,0,3,"little things, honey, watching scotty grow",male,American_country_singers
bobby hebb,1,0,0,0,0,0,1,sunny,male,American_male_singers
bobby mcferrin,0,0,1,0,0,0,1,dont worry be happy,,
bobby sherman,1,2,0,0,0,0,3,"little woman, julie do ya love me, easy come easy go",male,American_male_singers
bobby shmurda,0,0,0,0,0,1,1,hot boy,male,African-American_male_rappers
bobby valentino,0,0,0,0,1,0,1,slow down,male,
bobby vee,1,0,0,0,0,0,1,come back when you grow up,male,American_male_singers
bobby vinton,1,1,0,0,0,0,2,"please love me forever, sealed with a kiss",male,American_male_singers
bobby womack,0,1,0,0,0,0,1,lookin for a love,male,African-American_male_singers
bodeans,0,0,0,1,0,0,1,closer to free,,
bon jovi,0,0,7,4,1,0,12,"you give love a bad name, livin on a prayer, wanted dead or alive, bad medicine, ill be there for you, born to be my baby, lay your hands on me, bed of roses, always, always, this aint a love song, who says you cant go home",,
bone thugsnharmony,0,0,0,3,1,0,4,"1st of tha month, tha crossroads, look into my eyes, i tried",,
bonnie pointer,0,1,0,0,0,0,1,heaven must have sent you,female,African-American_female_singers
bonnie raitt,0,0,0,3,0,0,3,"something to talk about, i cant make you love me, love sneakin up on you",female,American_female_country_singers
bonnie tyler,0,1,1,0,0,0,2,"its a heartache, total eclipse of the heart",female,Female_rock_singers
booker t  the mgs,3,0,0,0,0,0,3,"groovin, time is tight, hang em high",,
boston,0,1,1,0,0,0,2,"dont look back, amanda",male,
bow wow,0,0,0,0,4,0,4,"let me hold you, like you, shortie like mine, outta my system",male,African-American_male_rappers
boy krazy,0,0,0,1,0,0,1,thats what love can do,,
boy meets girl,0,0,1,0,0,0,1,waiting for a star to fall,,
boys club,0,0,1,0,0,0,1,i remember holding you,,
boys like girls,0,0,0,0,2,1,3,"the great escape, love drunk, two is better than one",,
boyz ii men,0,0,0,13,0,0,13,"motownphilly, end of the road, its so hard to say goodbye to yesterday, uhh ahh, in the still of the nite, ill make love to you, on bended knee, water runs dry, ill make love to you, thank you, 4 seasons of loneliness, a song for mama, 4 seasons of loneliness",,
boz scaggs,0,2,3,0,0,0,5,"lowdown, lido shuffle, jojo, breakdown dead ahead, miss sun",male,American_male_guitarists
brad paisley,0,0,0,0,1,0,1,then,male,American_country_singers
brad paisley and carrie underwood,0,0,0,0,0,1,1,remind me,both,
brandy,0,0,0,8,2,0,10,"i wanna be down, baby, i wanna be down, brokenhearted, best friend, sittin up in my room, have you ever, almost doesnt count, what about us, full moon",,
brandy and monica,0,0,0,1,0,0,1,the boy is mine,,
brantley gilbert,0,0,0,0,0,1,1,bottoms up,male,American_country_singers
bread,0,4,0,0,0,0,4,"make it with you, if, everything i own, lost without your love",,
breakfast club,0,0,1,0,0,0,1,right on track,,
breathe,0,0,2,0,0,0,2,"hands to heaven, how can i fall",male,
brenda  the tabulations,0,1,0,0,0,0,1,right on the tip of my tongue,,
brenda k starr,0,0,1,0,0,0,1,i still believe,,
brenda lee,2,0,0,0,0,0,2,"too many rivers, coming on strong",female,American_female_country_singers
brenda russell,0,0,1,0,0,0,1,piano in the dark,female,African-American_female_singer-songwriters
brenton wood,1,0,0,0,0,0,1,gimme little sign,male,American_male_singers
brewer  shipley,0,1,0,0,0,0,1,one toke over the line,,
brian mcknight,0,0,0,3,1,0,4,"one last cry, you should be mine dont waste your time, back at one, back at one",male,American_male_guitarists
brick,0,1,0,0,0,0,1,dazz,,
britney spears,0,0,0,2,10,4,16,"baby one more time, sometimes, oops i did it again, from the bottom of my broken heart, toxic, everytime, womanizer, piece of me, circus, womanizer, if u seek amy, 3, 3, till the world ends, i wanna go, hold it against me",female,American_female_pop_singers
brock and the bizz,0,0,0,1,0,0,1,my baby daddy,,
brook benton,0,1,0,0,0,0,1,rainy night in georgia,male,American_crooners
brooke valentine,0,0,0,0,1,0,1,girlfight,female,African-American_female_singer-songwriters
brooks  dunn,0,0,0,0,2,0,2,"aint nothing bout you, red dirt road",male,
brownstone,0,0,0,1,0,0,1,if you love me,female,African-American_female_singers
brownsville station,0,1,0,0,0,0,1,smokin in the boys room,,
bruce hornsby and the range,0,0,3,0,0,0,3,"the way it is, mandolin rain, the valley road",,
bruce springsteen,0,0,7,2,0,0,9,"hungry heart, dancing in the dark, cover me, glory days, im on fire, born in the usa, brilliant disguise, streets of philadelphia, secret garden",male,American_male_guitarists
bruce willis,0,0,1,0,0,0,1,respect yourself,male,
bruno mars,0,0,0,0,0,8,8,"just the way you are, grenade, just the way you are, the lazy song, it will rain, when i was your man, locked out of heaven, treasure",male,American_male_singer-songwriters
bryan adams,0,0,5,6,0,0,11,"straight from the heart, heaven, run to you, summer of 69, heat of the night, everything i do i do it for you, cant stop this thing we started, do i have to say the words, thought id died and gone to heaven, please forgive me, have you ever really loved a woman",male,Canadian_male_singers
bryan adams rod stewart and sting,0,0,0,1,0,0,1,all for love,,
bt express,0,2,0,0,0,0,2,"express, do it til youre satisfied",both,
bubba sparxxx,0,0,0,0,1,0,1,ms new booty,male,American_country_singers
buckcherry,0,0,0,0,1,0,1,sorry,,
buckner  garcia,0,0,1,0,0,0,1,pacman fever,,
buffalo springfield,1,0,0,0,0,0,1,for what its worth,,
burton cummings,0,1,0,0,0,0,1,stand tall,male,Canadian_male_singers
busta rhymes,0,0,0,4,2,0,6,"woo hah got you all in check, turn it up remixfire it up, dangerous, whats it gonna be, pass the courvoisier part ii, touch it",male,African-American_male_rappers
