,1960,1970,1980,1990,2000,2010,
strawberry alarm clock,1,0,0,0,0,0,incense and peppermints
dr dre featuring snoop doggy dogg,0,0,0,1,0,0,dre day
aaron neville,1,0,0,1,0,0,"tell it like it is, everybody plays the fool"
gerald levert,0,0,0,1,0,0,thinkin bout it
scandal,0,0,1,0,0,0,the warrior
robbie dupree,0,0,1,0,0,0,steal away
drake featuring rihanna,0,0,0,0,0,1,take care
soft cell,0,0,1,0,0,0,tainted love
rockwell,0,0,1,0,0,0,somebodys watching me
the okaysions,1,0,0,0,0,0,im a girl watcher
lil mo featuring fabolous,0,0,0,0,1,0,superwoman pt ii
the smashing pumpkins,0,0,0,1,0,0,1979
dave loggins,0,1,0,0,0,0,please come to boston
eric benet featuring tamia,0,0,0,1,0,0,spend my life with you
dickey lee,1,0,0,0,0,0,laurie strange things happen
big sean featuring e40,0,0,0,0,0,1,i dont fuck with you
mike  the mechanics,0,0,3,0,0,0,"silent running on dangerous ground, all i need is a miracle, the living years"
deon jackson,1,0,0,0,0,0,love makes the world go round
jason derulo featuring snoop dogg,0,0,0,0,0,1,wiggle
silver convention,0,2,0,0,0,0,"fly robin fly, get up and boogie"
toya,0,0,0,0,2,0,"i do, i do"
missy elliott featuring ludacris,0,0,0,0,2,0,"one minute man, gossip folks"
barbra streisand,0,4,2,0,0,0,"the way we were, evergreen love theme from a star is born, my heart belongs to me, the main eventfight, woman in love, comin in and out of your life"
nick lachey,0,0,0,0,1,0,whats left of me
mr probz,0,0,0,0,0,1,waves
chris brown featuring lil wayne and busta rhymes,0,0,0,0,0,1,look at me now
william featuring britney spears,0,0,0,0,0,1,scream  shout
stevie nicks and don henley,0,0,1,0,0,0,leather and lace
simply red,0,0,2,0,0,0,"holding back the years, if you dont know me by now"
dj kool,0,0,0,1,0,0,let me clear my throat
colbie caillat,0,0,0,0,4,0,"bubbly, bubbly, realize, fallin for you"
gloria loring and carl anderson,0,0,1,0,0,0,friends and lovers
george benson,0,2,2,0,0,0,"this masquerade, on broadway, give me the night, turn your love around"
timmy t,0,0,0,1,0,0,one more try
the wanted,0,0,0,0,0,1,glad you came
the rascals,2,0,0,0,0,0,"people got to be free, a beautiful morning"
brock and the bizz,0,0,0,1,0,0,my baby daddy
maroon 5,0,0,0,0,4,9,"this love, she will be loved, she will be loved, makes me wonder, misery, one more night, daylight, one more night, love somebody, maps, animals, sugar, animals"
r dean taylor,0,1,0,0,0,0,indiana wants me
lil kim featuring 50 cent,0,0,0,0,1,0,magic stick
earth wind  fire,0,7,2,0,0,0,"shining star, thats the way of the world, sing a song, getaway, serpentine fire, after the love has gone, september, lets groove, fall in love with me"
level 42,0,0,1,0,0,0,something about you
the doobie brothers,0,3,0,0,0,0,"long train runnin, black water, what a fool believes"
the turtles,6,0,0,0,0,0,"it aint me babe, you baby, happy together, shed rather be with me, elenore, you showed me"
nu shooz,0,0,1,0,0,0,i cant wait
field mob featuring ciara,0,0,0,0,1,0,so what
ciara,0,0,0,0,2,1,"like a boy, promise, body party"
lou rawls,2,1,0,0,0,0,"love is a hurtin thing, your good thing is about to end, youll never find another love like mine"
bw stevenson,0,1,0,0,0,0,my maria
akon,0,0,0,0,3,0,"lonely, dont matter, right now na na na"
sheila e,0,0,2,0,0,0,"the glamorous life, a love bizarre"
vicki sue robinson,0,1,0,0,0,0,turn the beat around
cece peniston,0,0,0,3,0,0,"finally, keep on walkin, we got a love thang"
fetty wap,0,0,0,0,0,1,trap queen
