,1960,1970,1980,1990,2000,2010,
chingy,0,0,0,0,1,0,right thurr
one direction,0,0,0,0,0,5,"what makes you beautiful, best song ever, story of my life, drag me down, night changes"
take that,0,0,0,2,0,0,"back for good, back for good"
sam cooke,1,0,0,0,0,0,shake
selena gomez featuring aap rocky,0,0,0,0,0,1,good for you
kanye west featuring syleena johnson,0,0,0,0,1,0,all falls down
the heights,0,0,0,2,0,0,"how do you talk to an angel, how do you talk to an angel"
nelly featuring kelly rowland,0,0,0,0,1,0,dilemma
europe,0,0,1,0,0,0,carrie
blu cantrell,0,0,0,0,1,0,hit em up style oops
sam  dave,1,0,0,0,0,0,soul man
dr dre featuring eminem,0,0,0,0,1,0,forgot about dre
edwin hawkins singers,1,0,0,0,0,0,oh happy day
cj  company,0,1,0,0,0,0,devils gun
brandy featuring wanya morris,0,0,0,1,0,0,brokenhearted
ariana grande featuring mac miller,0,0,0,0,0,1,the way
annie lennox,0,0,0,1,0,0,no more i love yous
wang chung,0,0,2,0,0,0,"dance hall days, everybody have fun tonight"
lady gaga,0,0,0,0,3,7,"poker face, lovegame, paparazzi, bad romance, alejandro, paparazzi, born this way, the edge of glory, yo""u and i, applause"
mfsb,0,1,0,0,0,0,tsop the sound of philadelphia
rex smith,0,1,0,0,0,0,you take my breath away
the vogues,2,0,0,0,0,0,"five oclock world, turn around look at me"
jennifer lopez featuring ll cool j,0,0,0,0,1,0,all i have
luke featuring no good but so good,0,0,0,1,0,0,raise the roof
toby beau,0,1,0,0,0,0,my angel baby
new edition,0,0,2,2,0,0,"cool it now, if it isnt love, hit me off, im still in love with you"
rod stewart,0,4,5,5,0,0,"maggie mayreason to believe, tonights the night gonna be alright, youre in my heart the final acclaim, da ya think im sexy, passion, young turks, infatuation, love touch, my heart cant tell you no, downtown train, rhythm of my heart, the motown song, have i told you lately, reason to believe"
jayz featuring mr hudson,0,0,0,0,0,1,young forever
sugar ray,0,0,0,2,1,0,"every morning, someday, when its over"
nelly,0,0,0,0,3,2,"country grammar hot shit, ei, hot in herre, just a dream, just a dream"
arlo guthrie,0,1,0,0,0,0,city of new orleans
major lazer and dj snake featuring mo,0,0,0,0,0,1,lean on
average white band,0,2,0,0,0,0,"pick up the pieces, cut the cake"
fuel,0,0,0,0,1,0,hemorrhage in my hands
the dave clark five,2,0,0,0,0,0,"catch us if you can, i like it like that"
diana ross  marvin gaye,0,1,0,0,0,0,my mistake was to love you
gretchen wilson,0,0,0,0,1,0,redneck woman
flo rida featuring david guetta,0,0,0,0,0,1,club cant handle me
the band perry,0,0,0,0,0,2,"if i die young, if i die young"
fastball,0,0,0,1,0,0,out of my head
boy meets girl,0,0,1,0,0,0,waiting for a star to fall
meco,0,1,0,0,0,0,star wars themecantina band
michael jackson with siedah garrett,0,0,1,0,0,0,i just cant stop loving you
ian whitcomb,1,0,0,0,0,0,you turn me on
paul carrack,0,0,1,0,0,0,dont shed a tear
donny osmond,0,4,1,0,0,0,"go away little girl, sweet and innocent, puppy love, the twelfth of never, soldier of love"
pitbull,0,0,0,0,2,1,"i know you want me calle ocho, hotel room service, back in time"
the hillside singers,0,1,0,0,0,0,id like to teach the world to sing in perfect harmony
percy sledge,2,0,0,0,0,0,"when a man loves a woman, take time to know her"
charley pride,0,1,0,0,0,0,kiss an angel good mornin
derek and the dominos,0,1,0,0,0,0,layla
royal philharmonic orchestra,0,0,1,0,0,0,hooked on classics
crime mob and lil scrappy,0,0,0,0,1,0,rock yo hips
major harris,0,1,0,0,0,0,love wont let me wait
no mercy,0,0,0,2,0,0,"where do you go, where do you go"
mokenstef,0,0,0,1,0,0,hes mine
the marvelettes,1,0,0,0,0,0,dont mess with bill
young dro featuring ti,0,0,0,0,1,0,shoulder lean
surface,0,0,1,1,0,0,"shower me with your love, the first time"
big mountain,0,0,0,1,0,0,baby i love your way
andy grammer,0,0,0,0,0,1,honey im good
billy preston,0,3,0,0,0,0,"outaspace, will it go round in circles, nothing from nothing"
michael jackson and justin timberlake,0,0,0,0,0,1,love never felt so good
allen kriskris allen,0,0,0,0,0,1,live like were dying
baltimora,0,0,1,0,0,0,tarzan boy
kenny chesney featuring grace potter,0,0,0,0,0,1,you and tequila
shakira featuring rihanna,0,0,0,0,0,1,cant remember to forget you
mama cass elliot,1,0,0,0,0,0,its getting better
karyn white,0,0,2,2,0,0,"the way you love me, secret rendezvous, romantic, the way i feel about you"
debelah morgan,0,0,0,0,2,0,"dance with me, dance with me"
usher featuring pitbull,0,0,0,0,0,2,"dj got us fallin in love, dj got us fallin in love"
gerardo,0,0,0,1,0,0,rico suave
mike oldfield,0,1,0,0,0,0,tubular bells
miranda lambert and carrie underwood,0,0,0,0,0,1,somethin bad
jamie foxx featuring ludacris,0,0,0,0,1,0,unpredictable
dan hill featuring vonda shepard,0,0,1,0,0,0,cant we try
papa roach,0,0,0,0,1,0,scars
erick sermon featuring marvin gaye,0,0,0,0,1,0,music
tove lo,0,0,0,0,0,3,"habits stay high, talking body, habits stay high"
puff daddy featuring jimmy page,0,0,0,1,0,0,come with me
george harrison,0,2,2,0,0,0,"my sweet lord, give me love give me peace on earth, all those years ago, got my mind set on you"
plain white ts,0,0,0,0,1,0,hey there delilah
4 non blondes,0,0,0,1,0,0,whats up
tom jones,6,2,0,0,0,0,"whats new pussycat, its not unusual, green green grass of home, delilah, ill never fall in love again, love me tonight, without love there is nothing, shes a lady"
teri desario  kc,0,0,1,0,0,0,yes im ready
beyonce featuring shakira,0,0,0,0,1,0,beautiful liar
deborah cox,0,0,0,3,0,0,"who do u love, nobodys supposed to be here, nobodys supposed to be here"
tal bachman,0,0,0,1,0,0,shes so high
jimmy ruffin,1,0,0,0,0,0,what becomes of the brokenhearted
usher,0,0,0,4,6,4,"you make me wanna, nice  slow, you make me wanna, my way, u remind me, u got it bad, u dont have to call, burn, confessions part ii, caught up, there goes my baby, more, scream, climax"
mr cheeks,0,0,0,0,1,0,lights camera action
keith carradine,0,1,0,0,0,0,im easy
loverboy,0,0,2,0,0,0,"working for the weekend, hot girls in love"
chad kroeger featuring josey scott,0,0,0,0,1,0,hero
j holiday,0,0,0,0,2,0,"bed, suffocate"
loreena mckennitt,0,0,0,1,0,0,the mummers dance
keyshia cole featuring missy elliott and lil kim,0,0,0,0,1,0,let it go
icehouse,0,0,1,0,0,0,electric blue
mc lyte,0,0,0,1,0,0,cold rock a party
puff daddy featuring the notorious big and busta rhymes,0,0,0,1,0,0,victory
village people,0,2,0,0,0,0,"ymca, in the navy"
the guess who featuring wolfman jack,0,1,0,0,0,0,clap for the wolfman
a great big world and christina aguilera,0,0,0,0,0,1,say something
tower of power,0,1,0,0,0,0,so very hard to go
20 fingers featuring gillette,0,0,0,1,0,0,short dick man
the pretenders,0,0,3,1,0,0,"brass in pocket, back on the chain gang, dont get me wrong, ill stand by you"
the easybeats,1,0,0,0,0,0,friday on my mind
richie havens,0,1,0,0,0,0,here comes the sun
the cyrkle,1,0,0,0,0,0,red rubber ball
sophie b hawkins,0,0,0,3,0,0,"damn i wish i was your lover, as i lay me down, as i lay me down"
ace,0,1,0,0,0,0,how long
sheryl crow,0,0,0,6,2,0,"all i wanna do, strong enough, all i wanna do, if it makes you happy, if it makes you happy, everyday is a winding road, soak up the sun, the first cut is the deepest"
waka flocka flame featuring wale and roscoe dash,0,0,0,0,0,1,no hands
sanfordtownsend band,0,1,0,0,0,0,smoke from a distant fire
cherish featuring sean p,0,0,0,0,1,0,do it to it
drs,0,0,0,1,0,0,gangsta lean
eiffel 65,0,0,0,0,1,0,blue da ba dee
rare earth,0,3,0,0,0,0,"get ready, i know im losing you, i just want to celebrate"
the hombres,1,0,0,0,0,0,let it out let it all hang out
jojo,0,0,0,0,2,0,"leave get out, too little too late"
climax blues band,0,1,1,0,0,0,"couldnt get it right, i love you"
janis ian,1,1,0,0,0,0,"societys child, at seventeen"
owl city,0,0,0,0,1,1,"fireflies, fireflies"
elton john  kiki dee,0,1,0,0,0,0,dont go breaking my heart
the oak ridge boys,0,0,1,0,0,0,elvira
smith,1,0,0,0,0,0,baby its you
immature,0,0,0,2,0,0,"never lie, constantly"
pitbull featuring kesha,0,0,0,0,0,1,timber
u2,0,0,3,3,1,0,"with or without you, i still havent found what im looking for, desire, mysterious ways, one, hold me thrill me kiss me kill me, beautiful day"
citizen king,0,0,0,1,0,0,better days and the bottom drops out
rocko featuring future and rick ross,0,0,0,0,0,1,uoeno
the mills brothers,1,0,0,0,0,0,cab driver
lil flip featuring lea,0,0,0,0,1,0,sunshine
mary mary,0,0,0,0,1,0,shackles praise you
barenaked ladies,0,0,0,1,0,0,one week
mercy,1,0,0,0,0,0,love can make you happy
mcfadden  whitehead,0,1,0,0,0,0,aint no stoppin us now
ciara and missy elliott,0,0,0,0,1,0,1 2 step
audioslave,0,0,0,0,1,0,like a stone
lmfao featuring lauren bennett and goonrock,0,0,0,0,0,2,"party rock anthem, party rock anthem"
alannah myles,0,0,0,1,0,0,black velvet
fabolous featuring thedream,0,0,0,0,1,0,throw it in the bag
bread,0,4,0,0,0,0,"make it with you, if, everything i own, lost without your love"
hellogoodbye,0,0,0,0,1,0,here in your arms
duice,0,0,0,1,0,0,dazzey duks
nelson,0,0,0,2,0,0,"cant live without your love and affection, after the rain"
the new seekers,0,2,0,0,0,0,"look what theyve done to my song ma, id like to teach the world to sing in perfect harmony"
lobo,0,2,0,0,0,0,"me and you and a dog named boo, dont expect me to be your friend"
ghost town djs,0,0,0,1,0,0,my boo
taylor dayne,0,0,4,4,0,0,"ill always love you, tell it to my heart, prove your love, dont rush me, love will lead you back, with every beat of my heart, ill be your shelter, cant get enough of your love"
c w mccall,0,1,0,0,0,0,convoy
the police,0,0,5,0,0,0,"de do do do de da da da, dont stand so close to me, every little thing she does is magic, every breath you take, wrapped around your finger"
asap rocky featuring drake 2 chainz and kendrick lamar,0,0,0,0,0,1,fuckin problems
lord tariq and peter gunz,0,0,0,1,0,0,deja vu uptown baby
johnny bristol,0,1,0,0,0,0,hang on in there baby
tom petty and the heartbreakers,0,0,3,1,0,0,"dont do me like that, refugee, you got lucky, mary janes last dance"
blink 182,0,0,0,0,1,0,all the small things
katy perry featuring snoop dogg,0,0,0,0,0,1,california gurls
booker t  the mgs,3,0,0,0,0,0,"groovin, time is tight, hang em high"
todd rundgren,0,2,0,0,0,0,"i saw the light, hello its me"
sade,0,0,2,0,0,0,"smooth operator, the sweetest taboo"
the box tops,4,0,0,0,0,0,"the letter, cry like a baby, soul deep, sweet cream ladies"
rick dees  his cast of idiots,0,1,0,0,0,0,disco duck
the romantics,0,0,1,0,0,0,talking in your sleep
joan jett  the blackhearts,0,0,1,0,0,0,crimson and clover
naked eyes,0,0,2,0,0,0,"always something there to remind me, promises promises"
the four tops,1,2,0,0,0,0,"reach out ill be there, still water love, aint no woman like the one ive got"
cathy dennis,0,0,0,3,0,0,"touch me all night long, too many walls, just another dream"
murray head,0,0,1,0,0,0,one night in bangkok
mickey gilley,0,0,1,0,0,0,stand by me
the gogos,0,0,4,0,0,0,"we got the beat, our lips are sealed, vacation, head over heels"
bob seger,0,0,2,0,0,0,"fire lake, shakedown"
creed,0,0,0,1,5,0,"one, higher, with arms wide open, with arms wide open, my sacrifice, one last breath"
bee gees,0,12,0,0,0,0,"how can you mend a broken heart, lonely days, jive talkin, you should be dancing, fanny be tender with my love, love so right, night fever, stayin alive, how deep is your love, too much heaven, tragedy, love you inside out"
when in rome,0,0,1,0,0,0,the promise
men at work,0,0,4,0,0,0,"who can it be now, down under, overkill, its a mistake"
keri hilson featuring kanye west and neyo,0,0,0,0,1,0,knock you down
breathe,0,0,2,0,0,0,"hands to heaven, how can i fall"
big tymers,0,0,0,0,1,0,still fly
rihanna featuring jayz,0,0,0,0,1,0,umbrella
busta rhymes featuring p diddy and pharrell,0,0,0,0,1,0,pass the courvoisier part ii
robin thicke featuring ti and pharrell williams,0,0,0,0,0,1,blurred lines
nine days,0,0,0,0,1,0,absolutely story of a girl
thelma houston,0,1,0,0,0,0,dont leave me this way
j cole featuring miguel,0,0,0,0,0,1,power trip
skid row,0,0,1,1,0,0,"18 and life, i remember you"
diddy featuring keyshia cole,0,0,0,0,1,0,last night
wham featuring george michael,0,0,1,0,0,0,careless whisper
peter frampton,0,3,0,0,0,0,"show me the way live, baby i love your way live, im in you"
kc and the sunshine band,0,5,1,0,0,0,"get down tonight, shake shake shake shake your booty, thats the way i like it, im your boogie man, keep it comin love, please dont go"
debby boone,0,1,0,0,0,0,you light up my life
gloria estefan and miami sound machine,0,0,4,0,0,0,"rhythm is gonna get you, anything for you, 123, cant stay away from you"
grand funk railroad,0,3,0,0,0,0,"were an american band, the locomotion, some kind of wonderful"
bruce springsteen,0,0,7,2,0,0,"hungry heart, dancing in the dark, cover me, glory days, im on fire, born in the usa, brilliant disguise, streets of philadelphia, secret garden"
justin timberlake featuring jayz,0,0,0,0,0,1,suit  tie
jermaine dupri featuring da brat and usher,0,0,0,1,0,0,the party continues
the honey cone,0,1,0,0,0,0,stickup
timbaland featuring drake,0,0,0,0,0,1,say something
ringo starr,0,5,0,0,0,0,"it dont come easy, youre sixteen, oh my my, no no song, only you and you alone"
robin mcnamara,0,1,0,0,0,0,lay a little lovin on me
roger williams,1,0,0,0,0,0,born free
hunter hayes,0,0,0,0,0,3,"wanted, i want crazy, wanted"
macklemore and ryan lewis featuring mary lambert,0,0,0,0,0,1,same love
don mclean,0,2,1,0,0,0,"american pie, vincent, crying"
rick astley,0,0,3,1,0,0,"never gonna give you up, together forever, she wants to dance with me, cry for help"
barry mcguire,1,0,0,0,0,0,eve of destruction
rihanna,0,0,0,0,8,11,"pon de replay, sos, unfaithful, shut up and drive, take a bow, disturbia, dont stop the music, disturbia, rude boy, only girl in the world, sm, only girl in the world, cheers drink to that, where have you been, you da one, diamonds, diamonds, pour it up, bitch better have my money"
usher featuring lil jon and ludacris,0,0,0,0,1,0,yeah
glenn frey,0,0,2,0,0,0,"the heat is on, you belong to the city"
jessi colter,0,1,0,0,0,0,im not lisa
paula deanda featuring the dey,0,0,0,0,1,0,walk away remember me
robin thicke,0,0,0,0,1,0,lost without u
coolio featuring 40 thevz,0,0,0,1,0,0,c u when u get there
kanye west featuring jamie foxx,0,0,0,0,2,0,"gold digger, gold digger"
rundmc,0,0,1,0,0,0,walk this way
janis joplin,0,1,0,0,0,0,me and bobby mcgee
paula abdul,0,0,3,4,0,0,"straight up, cold hearted, forever your girl, its just the way that you love me, rush rush, the promise of a new day, blowing kisses in the wind"
metro station,0,0,0,0,1,0,shake it
commander cody and his lost planet airmen,0,1,0,0,0,0,hot rod lincoln
andrew gold,0,1,0,0,0,0,lonely boy
snoop doggy dogg,0,0,0,2,0,0,"gin and juice, whats my name"
slim harpo,1,0,0,0,0,0,baby scratch my back
somethin for the people featuring trina  tamara,0,0,0,2,0,0,"my love is the shhh, my love is the shhh"
cobra starship featuring leighton meester,0,0,0,0,1,0,good girls go bad
paula abdul and the wild pair,0,0,0,1,0,0,opposites attract
dna featuring suzanne vega,0,0,0,1,0,0,toms diner
blondie,0,1,3,0,0,0,"heart of glass, call me, rapture, the tide is high"
tevin campbell,0,0,0,5,0,0,"round and round, tell me what you want me to do, can we talk, im ready, always in my heart"
boz scaggs,0,2,3,0,0,0,"lowdown, lido shuffle, jojo, breakdown dead ahead, miss sun"
blake shelton featuring pistol annies and friends,0,0,0,0,0,1,boys round here
spice girls,0,0,0,5,0,0,"wannabe, say youll be there, 2 become 1, too much, spice up your life"
justin bieber featuring big sean,0,0,0,0,0,1,as long as you love me
ian matthews,0,1,0,0,0,0,shake it
rome,0,0,0,1,0,0,i belong to you every time i see your face
john sebastian,0,1,0,0,0,0,welcome back
enrique iglesias featuring descemer bueno and gente de zona,0,0,0,0,0,1,bailando
chingy featuring tyrese,0,0,0,0,1,0,pullin me back
the four seasons,0,1,0,1,0,0,"december 1963 oh what a night, december 1963 oh what a night"
crazy elephant,1,0,0,0,0,0,gimme gimme good lovin
jim croce,0,4,0,0,0,0,"you dont mess around with jim, bad bad leroy brown, time in a bottle, ill have to say i love you in a song"
suzanne vega,0,0,1,0,0,0,luka
dierks bentley,0,0,0,0,1,1,"what was i thinkin, drunk on a plane"
william devaughn,0,1,0,0,0,0,be thankful for what you got
crowded house,0,0,2,0,0,0,"dont dream its over, something so strong"
deep purple,0,1,0,0,0,0,smoke on the water
shawn mullins,0,0,0,1,0,0,lullaby
glenn yarbrough,1,0,0,0,0,0,baby the rain must fall
cobra starship featuring sabi,0,0,0,0,0,1,you make me feel
the isley brothers,1,3,0,0,0,0,"its your thing, pop that thang, that lady, fight the power"
az yet featuring peter cetera,0,0,0,1,0,0,hard to say im sorry
tom petty,0,0,0,2,0,0,"free fallin, you dont know how it feels"
the friends of distinction,2,1,0,0,0,0,"grazing in the grass, going in circles, love or let me be lonely"
billy joel,0,2,7,3,0,0,"just the way you are, my life, its still rock and roll to me, you may be right, allentown, tell her about it, uptown girl, an innocent man, the longest time, we didnt start the fire, i go to extremes, the river of dreams"
evelyn champagne king,0,1,0,0,0,0,shame
p diddy featuring ginuwine loon and mario winans,0,0,0,0,1,0,i need a girl part two
3lw,0,0,0,0,1,0,no more baby ima do right
jim jones featuring ron browz and juelz santana,0,0,0,0,1,0,pop champagne
timex social club,0,0,1,0,0,0,rumors
jet,0,0,0,0,1,0,are you gonna be my girl
jennifer warnes,0,1,0,0,0,0,right time of the night
sergio mendes,2,0,1,0,0,0,"the look of love, the fool on the hill, never gonna let you go"
the seekers,2,0,0,0,0,0,"ill never find another you, georgy girl"
goo goo dolls,0,0,0,4,2,0,"name, slide, black balloon, iris, broadway, here is gone"
safire,0,0,1,0,0,0,thinking of you
chris brown featuring lil wayne and french montana too short or tyga,0,0,0,0,0,1,loyal
beyonce featuring sean paul,0,0,0,0,2,0,"baby boy, baby boy"
whitney houston,0,0,9,9,1,0,"saving all my love for you, you give good love, how will i know, greatest love of all, i wanna dance with somebody who loves me, didnt we almost have it all, so emotional, where do broken hearts go, one moment in time, all the man that i need, im your baby tonight, i will always love you, i have nothing, im every woman, exhale shoop shoop, i believe in you and me, its not right but its okay, my love is your love, my love is your love"
the supremes  the temptations,1,0,0,0,0,0,im gonna make you love me
the crazy world of arthur brown,1,0,0,0,0,0,fire
ray parker jr,0,0,3,0,0,0,"the other woman, ghostbusters, i still cant get over loving you"
the allamerican rejects,0,0,0,0,4,0,"move along, dirty little secret, it ends tonight, gives you hell"
gene  debbe,1,0,0,0,0,0,playboy
free,0,1,0,0,0,0,all right now
johnny mathis  deniece williams,0,1,0,0,0,0,too much too little too late
billy paul,0,1,0,0,0,0,me and mrs jones
the electric prunes,1,0,0,0,0,0,i had too much to dream last night
nelly featuring city spud,0,0,0,0,1,0,ride wit me
carly simon  james taylor,0,1,0,0,0,0,mockingbird
passenger,0,0,0,0,0,2,"let her go, let her go"
heavy d,0,0,0,1,0,0,big daddy
argent,0,1,0,0,0,0,hold your head up
the tubes,0,0,1,0,0,0,shes a beauty
bad meets evil featuring bruno mars,0,0,0,0,0,1,lighters
e40 featuring tpain and kandi girl,0,0,0,0,1,0,u and dat
far east movement featuring ryan tedder,0,0,0,0,0,1,rocketeer
soul for real,0,0,0,2,0,0,"candy rain, every little thing i do"
santana featuring michelle branch,0,0,0,0,1,0,the game of love
loggins and messina,0,1,0,0,0,0,your mama dont dance
charles  eddie,0,0,0,1,0,0,would i lie to you
digable planets,0,0,0,1,0,0,rebirth of slick cool like dat
digital underground,0,0,0,1,0,0,the humpty dance
chairmen of the board,0,1,0,0,0,0,give me just a little more time
jermaine jackson,0,1,2,0,0,0,"daddys home, lets get serious, do what you do"
missy elliott featuring ciara and fatman scoop,0,0,0,0,1,0,lose control
quiet riot,0,0,1,0,0,0,cum on feel the noize
eddie kendricks,0,3,0,0,0,0,"keep on truckin, boogie down, shoeshine boy"
beverly bremers,0,1,0,0,0,0,dont say you dont remember
usher featuring juicy j,0,0,0,0,0,1,i dont mind
kiss,0,2,0,1,0,0,"rock and roll all nite live, i was made for lovin you, forever"
boys club,0,0,1,0,0,0,i remember holding you
corey hart,0,0,2,0,0,0,"sunglasses at night, never surrender"
tpain featuring mike jones,0,0,0,0,1,0,im n luv wit a stripper
mel and tim,0,1,0,0,0,0,starting all over again
rem,0,0,1,2,0,0,"stand, losing my religion, shiny happy people"
98 degrees,0,0,0,5,1,0,"invisible man, because of you, the hardest thing, i do cherish you, because of you, give me just one night una noche"
kandi,0,0,0,0,1,0,dont think im not
kris kross,0,0,0,4,0,0,"jump, warm it up, alright, tonites tha night "
havana brown featuring pitbull,0,0,0,0,0,1,we run the night
toad the wet sprocket,0,0,0,1,0,0,all i want
deon estus,0,0,1,0,0,0,heaven help me
the cure,0,0,1,1,0,0,"lovesong, friday im in love"
sean paul,0,0,0,0,6,0,"gimme the light, get busy, like glue, we be burnin, temperature, we be burnin"
pacific gas  electric,0,1,0,0,0,0,are you ready
kansas,0,2,0,0,0,0,"carry on wayward son, dust in the wind"
jack wagner,0,0,1,0,0,0,all i need
cutting crew,0,0,2,0,0,0,"i just died in your arms, ive been in love before"
shanice,0,0,0,2,0,0,"i love your smile, saving forever for you"
timbaland featuring nelly furtado and justin timberlake,0,0,0,0,1,0,give it to me
beyonce featuring jayz,0,0,0,0,2,0,"crazy in love, dej`a vu"
the chakachas,0,1,0,0,0,0,jungle fever
orleans,0,2,0,0,0,0,"dance with me, still the one"
ying yang twins,0,0,0,0,1,0,wait the whisper song
joe cocker,0,2,0,0,0,0,"the letter, you are so beautiful"
flo rida featuring tpain,0,0,0,0,1,0,low
eric clapton,0,3,2,3,0,0,"i shot the sheriff, lay down sally, promises, i cant stand it, ive got a rock n roll heart, tears in heaven, change the world, change the world"
meek mill featuring chris brown and nicki minaj,0,0,0,0,0,1,all eyes on you
chuck berry,0,1,0,0,0,0,my dingaling
eddy grant,0,0,1,0,0,0,electric avenue
ciara featuring ludacris,0,0,0,0,1,0,oh
count five,1,0,0,0,0,0,psychotic reaction
jo dee messina,0,0,0,1,1,0,"a lesson in leavin, thats the way"
nelly featuring st lunatics,0,0,0,0,1,0,air force ones
club nouveau,0,0,1,0,0,0,lean on me
nivea featuring jagged edge,0,0,0,0,1,0,dont mess with my man
ed sheeran,0,0,0,0,0,6,"the a team, dont, sing, thinking out loud, photograph, dont"
calvin harris featuring ellie goulding,0,0,0,0,0,1,i need your love
paul stookey,0,1,0,0,0,0,the wedding song there is love
foster the people,0,0,0,0,0,1,pumped up kicks
nancy sinatra,1,0,0,0,0,0,these boots are made for walkin
diana ross  lionel richie,0,0,1,0,0,0,endless love
john lennon,0,1,4,0,0,0,"instant karma, just like starting over, woman, watching the wheels, nobody told me"
war,0,7,0,0,0,0,"slippin into darkness, the cisco kid, gypsy man, the world is a ghetto, me and baby brother, why cant we be friends, summer"
tee set,0,1,0,0,0,0,ma belle amie
mims,0,0,0,0,1,0,this is why im hot
jadakiss,0,0,0,0,1,0,why
shannon,0,0,1,0,0,0,let the music play
ramsey lewis trio,1,0,0,0,0,0,the in crowd
maxi priest,0,0,0,1,0,0,close to you
the outfield,0,0,1,0,0,0,your love
frankie j,0,0,0,0,1,0,dont wanna try
nas,0,0,0,0,1,0,i can
marilyn mccoo  billy davis jr,0,1,0,0,0,0,you dont have to be a star to be in my show
barry white,0,3,0,0,0,0,"im gonna love you just a little more baby, never never gonna give you up, youre the first the last my everything"
city high featuring eve,0,0,0,0,1,0,caramel
destinys child featuring ti and lil wayne,0,0,0,0,1,0,soldier
mike will madeit featuring miley cyrus wiz khalifa and juicy j,0,0,0,0,0,1,23
112 featuring the notorious big and mase,0,0,0,1,0,0,only you
john cougar,0,0,3,0,0,0,"aint even done with the night, jack  diane, hurts so good"
sam and dave,1,0,0,0,0,0,i thank you
manfred mann,1,0,0,0,0,0,the mighty quinn
bobbie gentry,1,0,0,0,0,0,ode to billie joe
edie brickell  new bohemians,0,0,1,0,0,0,what i am
america,0,3,1,0,0,0,"a horse with no name, sister golden hair, lonely people, you can do magic"
otown,0,0,0,0,1,0,all or nothing
timbaland featuring onerepublic,0,0,0,0,2,0,"apologize, apologize"
crispian st peters,1,0,0,0,0,0,the pied piper
swv,0,0,0,5,0,0,"weak, im so into you, right here, anything, youre the one"
master p featuring fiend silkk the shocker mia x and mystikal,0,0,0,1,0,0,make em say uhh
willa ford,0,0,0,0,1,0,i wanna be bad
kim carnes,0,0,2,0,0,0,"more love, bette davis eyes"
ti featuring iggy azalea,0,0,0,0,0,1,no mediocre
fabolous featuring neyo,0,0,0,0,1,0,make me better
alicia bridges,0,2,0,0,0,0,"i love the nightlife, i love the nightlife"
corina,0,0,0,1,0,0,temptation
philip bailey and phil collins,0,0,1,0,0,0,easy lover
fetty wap featuring remy boyz,0,0,0,0,0,1,679
john paul young,0,1,0,0,0,0,love is in the air
lee brice,0,0,0,0,0,2,"hard to love, i dont dance"
omarion featuring chris brown and jhene aiko,0,0,0,0,0,1,post to be
player,0,2,0,0,0,0,"baby come back, this time im in it for love"
ohio players,0,4,0,0,0,0,"funky worm, fire, love rollercoaster, whod she coo"
the script featuring william,0,0,0,0,0,1,hall of fame
leblanc  carr,0,1,0,0,0,0,falling
kim wilde,0,0,2,0,0,0,"kids in america, you keep me hangin on"
calvin harris and disciples,0,0,0,0,0,1,how deep is your love
junior walker  the all stars,1,0,0,0,0,0,shotgun
pharrell williams,0,0,0,0,0,1,happy
technotronic featuring ya kid k,0,0,0,2,0,0,"get up before the night is over, move this"
james ingram and michael mcdonald,0,0,1,0,0,0,yah mo b there
planet soul,0,0,0,1,0,0,set u free
edison lighthouse,0,1,0,0,0,0,love grows where my rosemary goes
sheena easton,0,0,7,0,0,0,"morning train nine to five, for your eyes only, modern girl, you could have been with me, strut, sugar walls, the lover in me"
justin bieber,0,0,0,0,1,2,"one time, boyfriend, what do you mean"
dolly parton,0,1,1,0,0,0,"here you come again, 9 to 5"
ginuwine,0,0,0,3,3,0,"pony, pony, so anxious, differences, differences, in those jeans"
gary wright,0,2,1,0,0,0,"love is alive, dream weaver, really wanna know you"
the bee gees,1,0,0,0,0,0,ive gotta get a message to you
lsg,0,0,0,1,0,0,my body
alicia keys,0,0,0,0,8,3,"fallin, a womans worth, if i aint got you, you dont know my name, karma, no one, no one, like youll never see me again, unthinkable im ready, try sleeping with a broken heart, girl on fire"
arthur conley,1,0,0,0,0,0,sweet soul music
bob featuring rivers cuomo,0,0,0,0,0,1,magic
the spinners,0,5,2,0,0,0,"its a shame, could it be im falling in love, one of a kind love affair, mighty love, the rubberband man, working my way back to youforgive me girl, cupidive loved you for a long time"
yung joc featuring nitti,0,0,0,0,1,0,its goin down
the beach boys,5,1,2,0,0,0,"help me rhonda, california girls, good vibrations, sloop john b, barbara ann, rock and roll music, the beach boys medley, kokomo"
vanilla fudge,1,0,0,0,0,0,you keep me hangin on
the mamas  the papas,3,0,0,0,0,0,"monday monday, california dreamin, dedicated to the one i love"
puff daddy featuring faith evans and 112,0,0,0,1,0,0,ill be missing you
the j geils band,0,0,2,0,0,0,"centerfold, freezeframe"
julian lennon,0,0,2,0,0,0,"too late for goodbyes, valotte"
snow patrol,0,0,0,0,2,0,"chasing cars, chasing cars"
jimmy ray,0,0,0,1,0,0,are you jimmy ray
los bravos,1,0,0,0,0,0,black is black
boys like girls,0,0,0,0,2,0,"the great escape, love drunk"
case featuring foxy brown,0,0,0,1,0,0,touch me tease me
bill cosby,1,0,0,0,0,0,little ole man uptight everythings alright
paul mauriat,1,0,0,0,0,0,love is blue
rae sremmurd,0,0,0,0,0,1,no type
morris albert,0,1,0,0,0,0,feelings
lil wayne featuring bobby valentino,0,0,0,0,1,0,mrs officer
bruce hornsby and the range,0,0,3,0,0,0,"the way it is, mandolin rain, the valley road"
